id,game_id,title,version_name,build_id,release_date,download_url,is_available,changelog_title,changelog_body,source
94a347fb-a05c-4599-814c-31c8cf88653c,8d420973-9fd8-4912-a1b2-c2aa9ee12b0e,Librarian: Tidy Up the Arcane Library!,Update 2026-04-16,null,2026-04-16,null,false,"Launching on Thursday, April 30, 2026","The day has finally come for us to share this announcement with you. Thank you very much for your patience!The release date for  has been officially set for .This is a  where you return  to their proper places throughout an arcane library.
There is a special joy in seeing the books that once cluttered the floor return to the shelves, slowly revealing the hidden floor beneath. As chaos transforms into perfect order, you’ll experience an unparalleled sense of satisfaction.
How will you combine your unlocked abilities? What order will you tackle the mess? The strategic fun lies in your decision-making, as your tactics can lead to a dramatic increase in workflow.
The library’s ambient sound and BGM change dynamically; as shelves fill up, the acoustic resonance grows stronger, drawing you deeper into the world. You don't need to constantly worry about the passage of time. You can enjoy the fun of organizing at your own pace and still complete the game.Be sure to add it to your Wishlist now and look forward to launch day! 😊",steam_event
8d2d5dc6-9bfd-49dd-9e04-a79326711755,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2026-04-02,null,2026-04-02,null,false,Fight alongside Rise / Sunbreak Monsters in Stories 3!,"Hey hunters,

How goes the hunts? We hope the lands of Rise and Sunbreak are treating you well!We’re just wiredashing over to say, hey, have you checked out Monster Hunter Stories 3: Twisted Reflection yet? In-case you haven’t heard of it, it’s our turn-based RPG series set in the World of Monster Hunter, where you hatch, raise and battle alongside monsters instead of hunting them as you explore vast locales and restore their habitats.But wait, there’s more! What if we told you Stories 3 has a large contingent of monsters in it that made their debuts in Rise and Sunbreak? The second locale that you’ll explore even has a big Rise vibe to it, where funnily enough, you’ll start to encounter a fair few of these monsters!Now there’s a free demo you can check out too, and carry your save data over to the full game if you enjoy your time with it. Plus, you’ll the Kamura Garb layered armour in the full game for your Prince or Princess by having Rise save data.But, we’re not just here today to tell you about these cool things for Rise / Sunbreak hunters to enjoy, we’ll show you some too!As we previously mentioned, there’re a big selection of Monsters from Rise and Sunbreak in Monster Hunter Stories 3: Twisted Reflection. Below, we’ll show off the Kinship Attacks of just some of them. By the way, a Kinship Attack is an “ultimate attack” of sorts, which you can unleash in battle by building up a Kinship Gauge as you fight alongside your Monstie (the term for a Rider’s Monster companions). Every Monstie has a unique one too!It’s ok, no need to call Fugen the Elder this time, the only rampage this Magnamalo will unleash is against your foes, ""Hellfire Crematorium"" style.Malzeno, Flagship of Sunbreak, the Scarlet Feast, embodiment of darkness. A very cool Monster to have on your side, especially with an aura like that!Far from the reach of the Knights of the Royal Order, Lunagaron prowls the night.Now you can hatch your own and ride them into battle under the light of the moon.Garangolm shows off their affinity for the natural elements, as well as how they’re something of a scientist themself!Goss Harag’s looming dread and icy blows can be on your side this time, leaving opposing Monsters thinking “It's right behind me, isn't it…”.Almudron rises to the occasion with a Dragon infused Dual-Element look. A feature in Stories 3 that allows you to give any Monstie a second element, changing their colour(s) to reflect this!If you think the Monsters you face find the Rachnoid scary, wait until they look up and see Rakna-Kadaki…Cool Canynes don't look at explosions. 😎This Buddy's still got your back in Stories 3! Plus, you can change their fur color and combat capabilities using the Dual-Element system!That wraps up our post, thanks for checking it out! We hope you enjoyed seeing just a few of the Rise & Sunbreak Monsters you can find in Monster Hunter Stories 3: Twisted Reflection in action.  As we mentioned and linked at the start of the post, there’s a free demo with save data transfer to the full game available now, so if this post has you keen to try a turn-based RPG twist on the Monster Hunter you know, go check it out! Thanks everyone!- The Monster Hunter Community Team",steam_event
7cca5dce-2347-45da-95c8-9a99aa2177cc,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2026-03-13,null,2026-03-13,null,false,Monster Hunter news,"Monster Hunter Stories is an RPG series set in the world of Monster Hunter, where you become a Rider and form bonds with monsters, fighting alongside them as you embark on a journey with your friends. The third entry, Monster Hunter Stories 3: Twisted Reflection, is available from today, March 13th!

◆ To celebrate the release, check out a special video featuring ""Echoing Wings,"" sung by SARI.

◆ Two Free Downloadable Content Items!

Get the Accessory: Gold Circlet for your Ranger to wear.

Also obtain the Layered Armor for Simon: Wind Wyvern's Friend, which changes Simon's look to the Legiana Armor set.


Check out the store page for more details.
https://store.steampowered.com/app/2852190/3/
https://www.monsterhunter.com/stories3/en-us/",steam_event
9208e19b-d511-49b5-bb41-e19de74c4bc1,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2026-02-06,null,2026-02-06,null,false,Related Promotional Information,"A free trial for Monster Hunter Stories 3: Twisted Reflection lets you get a taste of the game before its March 13, 2026 release. In addition to jumping right into the beginning of the story, you'll be able to customize your character, try out the battle system, and start collecting equipment and Monsties just like in the full version.

You can transfer your save data to the full version and continue playing where you left off.


https://store.steampowered.com/app/3470630/3/

The trial version has only one save slot (the full version will have three).

You can only advance to level 10 in the trial version. You can continue playing upon reaching the level cap, but you will no longer gain any experience points. The amount of Trade Points and Monsties you can accumulate are also capped.

In order to carry over your progress to the full version, you must use the same account, with the save data on your PC.


https://store.steampowered.com/app/2852190/3/",steam_event
fa22a843-21a1-4c62-b3eb-aae2bb40f5c9,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2025-12-08,null,2025-12-08,null,false,UPDATE - Postponed: Monster Hunter Showcase coming Dec. 8 at 10 p.m. UTC!,"The Monster Hunter Showcase is a digital event featuring news about Monster Hunter Stories 3: Twisted Reflection, releasing March 13, 2026, and details on Monster Hunter Wilds Title Update 4, releasing December 16, 2025! The event will be available online starting December 8 from 2 p.m. Pacific Time or 10 p.m. UTC!



– Stream date and time are subject to change.
– The event is estimated at approximately 20 minutes.
– The Monster Hunter Wilds portion does not include news about anything other than Title Update 4.


https://www.monsterhunter.com/showcase/202512/en-us/


Monster Hunter Stories 3: Twisted Reflection
https://store.steampowered.com/app/2852190/3/


Monster Hunter Wilds
https://store.steampowered.com/app/2246340/_/",steam_event
bf6160b3-d86a-4be0-b157-c420942e7654,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2025-10-31,null,2025-10-31,null,false,Pre-Order Monster Hunter Stories 3: Twisted Reflection Now!,"The third entry in the Monster Hunter Stories RPG series, Monster Hunter Stories 3: Twisted Reflection is coming on March 13, 2026. Pre-order now!








https://store.steampowered.com/app/2852190/3/

Pre-order to get the special bonus Outfit for Eleanor: Skyscale Queen!

- Available to anyone who pre-orders by March 13, 2026 at 12:59 p.m. JST.
- Outfits change Rangers' appearance only.
- This pre-order bonus may be made available after launch.



◆ Characters



A founding member and the vice-captain of the Rangers. He and his loyal Palico support the group's activities in the background. Highly knowledgeable about botany, he's skilled at creating combinations. His family has long been in service to Azuria, and he's extremely loyal to the king, having gained the king's trust in turn.



He's a member of Gaul's elite intelligence corps, and carries out investigations and communication duties under his orders.



A true expert in monsters, having spent more than half his Rider career studying them. His knowledge is so deep, he's regarded as a walking Monsterpedia. 



A founding member of the Rangers, along with Amara. An old hand with geological surveys, she's highly experienced in the use of bombs and gunpowder. She's never understood why Amara did what she did ten years ago, and joins the protagonist's journey in order to discover the truth of why Amara left Azuria.



The loyal retainer of Vermeil's queen, he is instrumental in carrying out her will. In the shadows, he directs espionage units in various areas, trying to strengthen Vermeil's power by any means necessary. He comes to Azuria with Eleanor in order to present the idea of crossing the Meridian to Azuria's king, but is rejected.



Ever since the covenant was formed after the civil war, he, a Wyverian, and his Magnamalo, Wardenfang, have guarded the gate at the Meridian. Seeing the protagonist and their Skyscale Rathalos, he is reminded of Amara from ten years ago.



The leader of Sheparden, a village that reveres Canynes. Having lost their original home to the Encroachment, they've now settled near the Meridian. As the numbers of their Canyne wards decrease, they were prepared to accept the end of their way of life as they know it. However...





Gaul's Monstie, a Legiana. It works alongside Gaul to support the protagonist's journey.



Ogden's Monstie, a Pukei-Pukei with a big appetite. So friendly to humans that it boasts a coterie of fans who enjoy petting its down.



Kora's Monstie, a Gravios. Since it eats rocks, it's very well-suited to accompanying Kora on her geological surveys, in addition to normal Ranger duties.





This floating Elder Dragon is colossal enough to have an ecosystem of flora living on it. It consumes the earth and swallows forests whole as it wanders in search of rich soil. It's feared in Sheparden as ""a force of nature."" Rather than wandering about, this particular specimen has long resided in the Canalta Timberland. A portion of its body is crystallized.





Side stories are additional storylines centered around the protagonist and their fellow Rangers. With side stories spotlighting each of the protagonist's friends, you can get to know them more deeply. In addition, by completing side stories you can gain a variety of benefits for party gameplay, such as rewards useful in progressing the game, new weapons or Monsties for the Rangers, or the strengthening of their unique skills.



You'll begin the game by customizing your character in the character creator. Choose variables like body, hairstyle, and skin color to make the protagonist your own. Customization is also available during the course of the game, from the Rangers' base.



Players with save data from certain Monster Hunter series titles on their systems can obtain layered armor for the protagonist in Monster Hunter Stories 3: Twisted Reflection.


Monster Hunter Stories
https://store.steampowered.com/app/2356560/_/
Monster Hunter Stories 2: Wings of Ruin
https://store.steampowered.com/app/1277400/2/
Monster Hunter Rise
https://store.steampowered.com/app/1446780/_/



https://www.monsterhunter.com/stories3/",steam_event
5e377fb6-a81d-4477-9207-234692abae7a,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2025-09-28,null,2025-09-28,null,false,End of Support Notice for Windows 10,"Thank you to all our fans for enjoying Capcom products.




Proper game functionality cannot be guaranteed on operating systems of which Microsoft has ended support. If an issue running the game occurs, support can only be provided based on information from before support for Windows 10 was discontinued. Services for investigating problems regarding running the game on Windows 10 will be discontinued.

Thank you for your understanding, and we hope you continue to enjoy Capcom games.",steam_event
4d1c62a2-c22d-4dc3-a8f5-3a8563f8f1d3,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2025-08-05,null,2025-08-05,null,false,New Monster Hunter Title,"Presenting Monster Hunter Stories 3: Twisted Reflection, the third entry in the Monster Hunter RPG series.
In the Monster Hunter Stories RPG series, players become Riders in the Monster Hunter world, forming bonds with their monsters by raising them and traveling and battling alongside them.



https://www.monsterhunter.com/stories3/en-us/



To celebrate this announcement, Monster Hunter Stories and Monster Hunter Stories 2: Wings of Ruin are also on sale! Take this opportunity to dip your toe into the world of Monster Hunter's RPG series as a Rider forming bonds with monsters.

https://store.steampowered.com/app/2356560/?snr=1_2108_9__2107
https://store.steampowered.com/app/1277400/2?snr=1_2108_9__2107",steam_event
a75c773e-b888-4af1-9b24-92cbbfcc9c10,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2024-12-17,null,2024-12-17,null,false,Welcome to Monster Hunter - Presented by Daisy Ridley,"Welcome, veteran and rookie hunters alike, to the world of Monster Hunter! Presented by the extraordinary Daisy Ridley, learn more about the universe of the Monster Hunter games. Discover the tenuous balance between humans and nature, explore the awe-inspiring Monsters that inhabit the world and wilds, and come to learn about the role of the Hunters and the Hunter’s Guild and their quest for true harmony with nature. 

You might even be able to discover information about the impending expeditions into the Forbidden Lands, a mysterious location that you’ll explore in the upcoming Monster Hunter Wilds, coming February 28, 2025.

Welcome to Monster Hunter - Presented by Daisy Ridley


Don't expect any new info or reveals on Monster Hunter Wilds here!

Get a great deal on Monster Hunter titles!
https://store.steampowered.com/developer/capcom/sale/holiday",steam_event
6b258cfa-58e0-44fe-9899-d8e4aed3ea44,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2024-07-09,null,2024-07-09,null,false,Monster Hunter series news,"If you have Monster Hunter Stories 2: Wings of Ruin Steam version save data, you'll receive a bonus Rider layered armor set for your hunter, and a Navirou layered armor set for your Palico!
Check out the RPG series Monster Hunter Stories to experience the world of Monster Hunter to the fullest! 




Note: To get the Palico Navirou layered armor, you must have Monster Hunter Rise: Sunbreak installed.

For more information about Monster Hunter Stories 2: Wings of Ruin on Steam:
https://store.steampowered.com/app/1277400/2/

For more information about Monster Hunter Stories on Steam:
https://store.steampowered.com/app/2356560/_/






We hope you find these useful, whether you've already played or are just getting started!



This collection pack is ideal for players who have yet to try both games.
Limited bonuses for both titles will be granted for purchases made by 11:59 p.m. (EDT) on Saturday, August 31, 2024.
https://store.steampowered.com/sub/1038990/

https://store.steampowered.com/sub/1038991/


Over 2 milion copies sold!
Follow the official Monster Hunter account to check out the 3rd anniversary art!",steam_event
da9dc9ce-8783-489f-bc15-c9e091c38416,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2024-07-01,null,2024-07-01,null,false,"Happy 2nd Anniversary, Monster Hunter Rise: Sunbreak!","Hey Hunters,

How goes the hunts?

June 30 marks two years since the launch of Monster Hunter Rise: Sunbreak, bringing with it Master Rank and a whole new adventure as you arrived in Elgado on your quest to save the Kingdom from a legendary threat!

To celebrate this anniversary, Sunbreak’s Director Suzuki has a message for you all, as well as a special piece of artwork with some familiar faces…






- Suzuki, Sunbreak Director




Two years, that’s flown by almost as fast as Crimson Glow Valstrax going for the ambush!

What are your favourite memories and moments of Sunbreak so far? Let us know in the comments, we’d love to hear them!

Whether you’re a hunter well versed in the lands of Kamura and the Kingdom, or you’ve joined us more recently in the Steam Summer Sale, thank you for your support and passion for Monster Hunter!

We’ll see you in the hunt!

- Monster Hunter Community Team",steam_event
81cdb716-4b3f-4b5b-ac5b-fe42f344b235,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2024-06-14,null,2024-06-14,null,false,Related Promotional Information,"Join fellow hunters across all platforms with crossplay support!
Also revealed at Summer Game Fest 2024, Monster Hunter Wilds will feature crossplay—allowing players to join their fellow hunters across all platforms.
See our official website for more information.
https://www.monsterhunter.com/wilds/


The game's third trailer will be revealed at gamescom Opening Night Live ahead of the first ever playable demo which will be on the showfloor at gamescom 2024!

Wishlist now!
https://store.steampowered.com/app/2246340/

Stay tuned for more information on Monster Hunter Wilds!",steam_event
ec71df8b-a1bc-4c43-84d6-ab2b777809e0,299bb953-253c-4b24-9182-727e49caf16a,MONSTER HUNTER RISE,Update 2024-06-08,null,2024-06-08,null,false,"A New Trailer for Monster Hunter Wilds, Revealed at Summer Game Fest!","Hey Hunters! We're back again and thrilled to share our follow-up trailer for Monster Hunter Wilds, which was just revealed at Summer Game Fest 2024. 
In the trailer, you'll get a taste of how we're aiming to craft the most immersive hunting experience yet, with seamless transitions between dramatic storytelling and riveting gameplay. Plus, a look at a brand new monster. ""




Take a look at our latest artwork, featuring the hunter confronting a pack of Doshaguma in the Windward Plains locale. We hope you get a sense of the harsh and hostile environments that you'll encounter in the world of Monster Hunter Wilds. 

Introducing an all-new leviathan that inhabits the Windward Plains


Revealed in the trailer is the desert-dwelling leviathan, Balahara. They use their serpentine bodies to move nimbly through the sand, and are capable of expelling the mucus they secrete to attack their prey. The can also use this mucus to slither through rough and jagged landscapes with ease. 
Beware their ability to create quicksand traps, which ensnare prey, regardless if they're a monster or another hunter. 
The trailer also features another shocking monster reveal, however you'll have to stay tuned to learn more about it in the future. 
Also revealed at Summer Game Fest, Monster Hunter Wilds will feature crossplay across all platforms! Join your fellow hunters, regardless if you're playing here on Steam, or on another platform. 
And last but not least, we'll be back with more Monster Hunter Wilds news during Gamescom, starting on August 21.
See our official website for more information.

https://www.monsterhunter.com/wilds/en-us/

Hunters, we appreciate your excitement for Monster Hunter Wilds and can't wait to share more with you! Keep watching this space for more information to come. 

Note: The information here represents a product still in development. Content or terminology may differ in the final product.

Wishlist now!


With Monster Hunter Wilds arriving in 2025, there's plenty of hunting to be done in the meantime. Experience more from the Monster Hunter series with the franchise sale, live now!
Sales are live for a limited time, so be sure to check the store page for details on pricing and dates so you don't miss out. 
https://store.steampowered.com/developer/capcom/sale/monsterhunter",steam_event
